customer_id;signup_date;last_interaction_date;tenure_months;monthly_charge;total_charges;contract_type;payment_method;internet_service;support_tickets_30d;num_services;promo_applied;region;device_type;avg_download_mbps;downtime_hrs_30d;late_payments_12m;nps_text;churn
CUST01117;5/07/2019;;75;74.1875996;5541.11;Mes a mes;Efectivo;Cable;0;3;No;Centro;Router;148.4925398;2.263774818;0;Muy satisfecho;0
CUST01369;6/07/2022;6/09/2024;38;47.76425832;1794.29;Mes a mes;Efectivo;Cable;0;2;No;Centro;Router;185.6868653;1.737182393;1;Podría mejorar;0
CUST00423;18/04/2020;16/01/2025;63;64.81747361;4175.53;Mes a mes;Débito;Cable;1;5;No;Centro;ONT;127.5546904;0.352481782;1;Cobro incorrecto;0
CUST00414;1/01/2021;7/01/2024;57;59.82235691;3469.83;2 años;Tarjeta;Fibra;1;2;No;Lima Metropolitana;Modem;269.2046349;2.523061907;0;Todo bien;0
CUST00452;13/12/2020;18/01/2022;57;45.99929277;2621.87;Mes a mes;Efectivo;DSL;1;2;Sí;Lima Metropolitana;Router;42.82314956;3.089017586;2;Rápido y estable;1
CUST00862;20/10/2020;5/03/2025;57;55.34029586;3262.75;1 año;Débito;DSL;1;4;Sí;Lima Metropolitana;Router;32.52120502;2.224396948;2;Todo bien;0
CUST01064;11/12/2023;;18;84.06622034;1455.41;Mes a mes;Billetera;Fibra;1;3;No;Lima Metropolitana;Modem;213.3195093;3.378474359;1;Conforme;0
CUST00742;6/07/2019;1/01/2021;76;89.57932055;6806.95;Mes a mes;Débito;Fibra;0;2;No;Norte;Router;140.0705428;2.471910384;0;Podría mejorar;0
CUST01273;25/09/2020;8/04/2021;57;70.29430592;4036.17;Mes a mes;Tarjeta;Cable;0;3;No;Centro;Router;137.368048;0.815250438;0;Excelente atención;1
CUST00260;10/06/2021;25/07/2025;49;59.13873701;2877.41;Mes a mes;Tarjeta;Cable;2;4;No;Sur;Modem;152.2583729;2.334484056;1;Rápido y estable;0
CUST00889;13/04/2021;;51;85.71995317;4310.97;2 años;Billetera;Cable;0;2;No;Sur;Router;154.6289624;3.215508077;0;Rápido y estable;0
CUST01433;25/06/2022;14/10/2022;39;62.52283662;2443.75;2 años;Tarjeta;DSL;0;1;No;Centro;Modem;31.3385512;1.063791147;1;Conforme;1
CUST00713;12/12/2022;24/04/2023;31;76.69225104;2456.27;Mes a mes;Tarjeta;Fibra;0;4;No;Oriente;ONT;158.9758956;0.779357354;0;Cobro incorrecto;0
CUST01383;27/12/2019;7/12/2021;67;53.64458901;3527.58;2 años;Débito;Cable;0;1;No;Sur;Modem;136.465665;0.660666152;0;Precio alto;0
CUST00071;31/10/2020;;56;84.62354242;4679.36;Mes a mes;Débito;Satélite;4;1;Sí;Norte;Router;17.24375988;6.392550606;1;Muy satisfecho;1
CUST01269;29/02/2020;24/05/2023;64;60.70421173;3883.58;1 año;Tarjeta;DSL;0;4;Sí;;Combo;41.74289076;5.287816098;0;Caídas frecuentes;0
CUST01492;22/06/2022;30/07/2022;37;84.86309993;3038.9;Mes a mes;Efectivo;Fibra;1;3;Sí;Norte;Modem;172.2829533;3.658285844;1;Mala experiencia;0
CUST00608;9/10/2021;24/03/2024;44;71.54080671;3072.85;1 año;Débito;Fibra;1;4;Sí;Centro;ONT;173.6229976;2.836142508;0;Conforme;1
CUST00434;31/01/2023;13/08/2023;30;68.05243127;2026.41;1 año;Tarjeta;Cable;0;5;Sí;Norte;Combo;124.3030541;2.625618032;1;Caídas frecuentes;1
CUST00052;7/07/2019;10/03/2021;75;77.66242975;5780.02;Mes a mes;Débito;Cable;0;4;Sí;Norte;ONT;121.6988614;4.227277712;0;Conforme;0
CUST01200;26/06/2021;7/06/2022;49;50.02327477;2449.09;1 año;Billetera;DSL;0;5;No;Lima Metropolitana;Router;18.32588946;3.65425769;0;Precio alto;1
CUST01129;21/01/2025;23/06/2025;7;48.31615078;383.33;2 años;Tarjeta;DSL;3;1;No;Sur;Combo;28.37582015;2.777021871;0;Cobro incorrecto;0
CUST01191;10/04/2020;15/02/2024;66;63.59738975;4139.88;Mes a mes;Tarjeta;DSL;0;3;No;Lima Metropolitana;Router;18.30011892;;1;Podría mejorar;1
CUST01250;16/12/2019;26/04/2025;69;84.12026879;5854.86;Mes a mes;Débito;Cable;0;2;No;Norte;Router;83.25336261;1.555438036;0;Mala experiencia;0
CUST01420;16/08/2022;3/07/2025;35;31.0048612;1137.27;Mes a mes;Débito;DSL;0;2;No;Norte;Modem;31.85716784;4.079375119;1;Podría mejorar;1
CUST00433;18/03/2021;18/04/2021;54;91.63732832;4954.82;1 año;Tarjeta;Fibra;0;3;No;Oriente;Modem;202.0982507;2.58893338;1;Excelente atención;0
CUST01453;9/09/2020;1/10/2020;59;56.79121645;3347.73;2 años;Débito;Fibra;2;2;No;Oriente;Router;144.0786179;2.310693314;0;Mala experiencia;1
CUST01471;6/05/2023;5/05/2024;26;45.54349697;1183.78;2 años;Débito;;0;3;Sí;Oriente;Router;27.0219726;0.972564416;0;Mala experiencia;1
CUST01235;22/08/2023;12/10/2023;22;72.32932545;1615.18;Mes a mes;Billetera;;1;2;Sí;Lima Metropolitana;ONT;235.5672384;2.335131493;2;Podría mejorar;0
CUST01282;9/06/2025;13/06/2025;1;53.7661747;173.36;Mes a mes;Tarjeta;Cable;0;3;No;Norte;Modem;;1.369746191;1;Mala experiencia;1
CUST01086;2/04/2024;28/03/2025;14;76.25465849;1116.49;Mes a mes;Billetera;Fibra;0;3;No;Norte;Modem;211.3396923;1.608683866;1;Podría mejorar;0
CUST00611;16/09/2020;10/09/2024;57;67.33135962;3829.84;1 año;Débito;Fibra;0;4;Sí;Sur;Modem;175.8426363;3.111668567;0;Todo bien;1
CUST01285;16/04/2025;14/05/2025;5;;365.5;Mes a mes;Billetera;DSL;0;3;No;Sur;Router;33.36296228;1.036782145;1;Excelente atención;0
CUST01042;31/05/2025;8/06/2025;1;63.89994501;83.56;1 año;Tarjeta;Cable;0;3;Sí;Centro;Modem;150.0148991;1.018670172;1;Mala experiencia;1
CUST00221;23/02/2021;1/04/2024;53;69.55269237;3701.54;2 años;Billetera;Cable;1;3;No;Centro;Modem;105.6255356;3.757546718;0;Rápido y estable;0
CUST00340;28/07/2019;25/01/2021;74;87.9799455;6491.55;Mes a mes;Tarjeta;Fibra;3;3;No;Lima Metropolitana;Combo;150.9822137;6.548813699;1;Muy satisfecho;1
CUST00424;27/04/2023;26/10/2024;26;93.2527609;2448.62;Mes a mes;Débito;Fibra;1;2;No;Lima Metropolitana;Router;219.5230861;12.24732656;1;Mala experiencia;1
CUST00429;22/11/2023;15/07/2025;22;90.62657291;1992.97;Mes a mes;Tarjeta;Fibra;0;3;No;Lima Metropolitana;Router;233.6356628;1.960644196;1;Cobro incorrecto;1
CUST01106;15/04/2024;12/03/2025;18;83.82653551;1478.51;Mes a mes;Tarjeta;Fibra;0;1;Sí;Norte;Router;181.1359459;1.600804597;0;Servicio lento;1
CUST00077;21/08/2022;21/03/2023;34;87.9185931;2942.87;Mes a mes;Débito;Fibra;2;2;No;Lima Metropolitana;Router;218.019357;1.908319408;2;Mala experiencia;1
CUST01392;24/06/2022;1/03/2024;36;88.21291471;3217.97;1 año;Tarjeta;;0;2;No;Lima Metropolitana;Router;24.47422951;;1;Rápido y estable;0
CUST00440;15/05/2022;24/12/2024;37;57.38554954;2030.96;1 año;;DSL;0;3;No;Norte;Router;29.85590841;3.070185979;1;Conforme;0
CUST01337;17/06/2022;9/02/2024;37;54.03105215;1928.35;Mes a mes;Débito;DSL;3;2;Sí;Centro;Router;32.1810088;4.688721561;1;Rápido y estable;1
CUST00865;22/07/2024;29/12/2024;12;81.67570106;992.09;Mes a mes;;Fibra;1;4;No;Sur;Modem;214.0746648;12.21534807;0;Excelente atención;1
CUST01081;18/11/2021;26/10/2024;43;77.73118434;3327.87;1 año;Débito;Fibra;0;3;No;Oriente;Router;197.6884179;4.112138776;0;Conforme;1
CUST00355;3/04/2020;10/04/2024;64;81.85589746;5316.1;1 año;Tarjeta;Fibra;2;5;Sí;Centro;Router;268.317942;5.720018413;0;Servicio lento;0
CUST00366;16/06/2022;24/10/2022;40;76.48876804;3014.02;1 año;Débito;Fibra;3;3;No;Sur;Router;185.3694475;5.720469157;1;Precio alto;1
CUST00310;26/06/2020;13/05/2022;64;35.50628245;2335.26;1 año;Efectivo;DSL;1;4;Sí;Centro;Modem;15.66450548;2.673950279;0;Podría mejorar;0
CUST00737;23/05/2022;25/01/2025;37;84.35657902;3137.89;1 año;Efectivo;DSL;1;1;No;Norte;Router;42.3135266;2.050151392;0;Podría mejorar;1
CUST00999;21/08/2022;19/03/2024;37;66.34166416;2409.4;1 año;Débito;Cable;0;3;Sí;Lima Metropolitana;Router;93.29052262;4.652685476;0;Mala experiencia;1
CUST00622;14/04/2020;23/05/2021;63;70.81082543;4482.85;Mes a mes;Tarjeta;Cable;0;2;Sí;Lima Metropolitana;Modem;72.43819814;1.908600952;3;Conforme;0
CUST00544;17/09/2022;27/01/2024;36;87.54338361;3177.91;1 año;Tarjeta;Fibra;0;4;Sí;Lima Metropolitana;Router;159.3442009;;1;Muy satisfecho;0
CUST01141;27/12/2023;18/06/2024;21;61.89106064;1268.88;2 años;Débito;Fibra;2;1;No;Norte;Combo;213.3498927;0.591235238;0;Mala experiencia;0
CUST01297;9/08/2020;6/03/2024;58;68.61917665;3930.82;2 años;Tarjeta;Fibra;2;5;No;Lima Metropolitana;Modem;250.4148435;3.355432578;1;Servicio lento;0
CUST00555;7/05/2024;15/07/2024;17;48.29614235;820.17;2 años;Tarjeta;DSL;0;4;No;Oriente;Combo;20.39229984;0.954597039;3;Soporte deficiente;1
CUST00680;24/12/2022;11/06/2023;34;;1657.71;2 años;Débito;DSL;2;4;No;Norte;Modem;24.50829887;4.804813881;0;Cobro incorrecto;1
CUST00050;26/02/2021;8/03/2021;55;413.4724015;22658.15;Mes a mes;Efectivo;Fibra;0;2;Sí;Lima Metropolitana;ONT;196.5422532;4.467122703;1;Conforme;1
CUST00491;25/06/2023;15/07/2024;23;83.89604524;1968.87;Mes a mes;Débito;Fibra;1;3;Sí;Lima Metropolitana;Combo;154.9276411;2.020632773;0;Rápido y estable;1
CUST00317;30/11/2023;19/08/2024;20;77.37253252;1611.69;Mes a mes;Tarjeta;Fibra;0;3;Sí;Lima Metropolitana;ONT;193.5832356;5.480431299;0;Caídas frecuentes;1
CUST00905;17/01/2020;14/07/2020;68;76.02858578;5198.92;1 año;Billetera;Fibra;0;3;No;Norte;Router;256.4235088;3.334969167;0;Servicio lento;0
CUST00637;10/05/2020;31/08/2023;61;81.89164457;4894;1 año;Efectivo;Fibra;0;3;No;Lima Metropolitana;Router;236.8850627;1.527102058;1;Caídas frecuentes;0
CUST00561;13/01/2025;16/02/2025;4;91.21861505;319.18;Mes a mes;Débito;Fibra;0;3;Sí;Norte;Router;199.8908621;1.411582;1;Muy satisfecho;1
CUST00487;15/06/2025;6/08/2025;1;35.27962927;35.77;2 años;Tarjeta;DSL;1;4;Sí;Norte;Otro;29.15052519;4.926690477;0;Precio alto;0
